"id","migration","batch"
"10","2014_10_12_000000_create_users_table","1"
"11","2014_10_12_100000_create_password_resets_table","1"
"12","2014_10_12_200000_add_two_factor_columns_to_users_table","1"
"13","2019_08_19_000000_create_failed_jobs_table","1"
"14","2019_12_14_000001_create_personal_access_tokens_table","1"
"15","2022_01_07_142055_create_sessions_table","1"
"16","2022_01_07_142549_create_players_table","1"
"17","2022_01_07_142654_create_products_table","1"
"18","2022_01_08_025201_add_active_to_users","1"
"19","2022_01_11_124626_create_regions_table","2"
"20","2022_01_11_125049_create_provinces_table","2"
"21","2022_01_11_125423_create_municipalities_table","2"
"22","2022_01_11_125813_create_barangays_table","2"
"23","2022_01_11_135956_add_barangay_id_to_players","2"
"24","2022_01_11_164801_add_data_source_to_players","3"
"25","2022_01_11_171411_create_equipment_table","4"
"26","2022_01_12_150234_add_year_acquired_to_equipment","5"
"27","2022_01_12_151303_alter_status_in_table_equipment","5"
"28","2022_01_12_151657_add_municipality_to_players","5"
"34","2022_01_16_050443_add_agency_designation_to_users","6"
"35","2022_01_16_081237_create_organizations_table","6"
"36","2022_02_11_101222_alter_region_name_in_regions","6"
"37","2022_02_11_124721_add_organization_role_to_users","6"
"38","2022_02_11_131052_add_super_admin_to_users","6"
